Product Name,Current Date,Current Price,Old Date,Old Price,Category
Solo 6'lı Kağıt Havlu,10/06/2023,49,11/06/2022,54,kagit-havlu
Solo 8'li Kağıt Havlu,10/06/2023,98,10/06/2022,72,kagit-havlu
Solo 24'lü Kağıt Havlu,10/06/2023,269,10/10/2022,142,kagit-havlu
Solo 36'lı Kağıt Havlu,10/06/2023,450,15/04/2023,624,kagit-havlu
Solo 48'li Paket Kağıt Havlu,10/06/2023,358,10/06/2022,230,kagit-havlu
Stanley Klasik Vakumlu 1 lt Çelik Termos,10/06/2023,742,10/06/2022,500,termos
Hawk Gaming Chair Fab V4 Siyah Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/06/2022,2699,oyuncu-koltugu
Fairy Platinum Limon Bulaşık Makinesi Kapsülü 90'lı,10/06/2023,254,10/06/2022,139,bulasik-makinesi-tableti
Econature Kuzulu 15 kg Yetişkin Köpek Maması,10/06/2023,396,10/06/2022,259,kopek-mamasi
iPhone 13 128 GB,10/06/2023,32498,10/06/2022,17999,cep-telefonu
"Macbook Air M1 8 GB 256 GB SSD 13.3"" MGN63TU/A Uzay Grisi",10/06/2023,24289,10/06/2022,14653,laptop-notebook
Tunçmatik PowerSurge 1050 Joule 5'li 1.5 m Akım Korumalı Priz,10/06/2023,212,10/06/2022,141,akim-korumali-priz
"Samsung Galaxy Tab A8 Wi-Fi SM-X200 32 GB 10.5"" Tablet",10/06/2023,3139,10/06/2022,2275,tablet
Xiaomi Mi Robot Vacuum Mop 2 Pro Akıllı Robot Süpürge,10/06/2023,8199,10/06/2022,6249,robot-supurge
Stanley Klasik Vakumlu 0.75 lt Çelik Termos,10/06/2023,629,10/06/2022,479,termos
Stanley Klasik Vakumlu 1.3 lt Çelik Termos,10/06/2023,890,10/06/2022,574,termos
Stanley Klasik Vakumlu Açık Mavi 1 lt Çelik Termos,10/06/2023,742,20/10/2022,629,termos
Stanley Klasik Vakumlu Lacivert 1 lt Çelik Termos,10/06/2023,799,10/06/2022,660,termos
Stanley Klasik Vakumlu Mossy Oak 1 lt Çelik Termos,10/06/2023,869,14/03/2023,1232,termos
Stanley Klasik Vakumlu Turuncu 1 lt Çelik Termos,10/06/2023,949,14/03/2023,1105,termos
Stanley Klasik Vakumlu Yeşil 1 lt Çelik Termos,10/06/2023,759,10/06/2022,599,termos
Hawk Gaming Chair Fab V1 Gri Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/06/2022,2699,oyuncu-koltugu
Hawk Gaming Chair Fab V2 Gri-Siyah Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/06/2022,2399,oyuncu-koltugu
Hawk Gaming Chair Fab V3 Siyah-Gri Kumaş Oyuncu Koltuğu,10/06/2023,3599,10/06/2022,2699,oyuncu-koltugu
